epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,11593.1,0.75396,0.62141,1.16527,0.96678,0.92329,0.96673,0.81071,0.74386,0.45951,1.12154,0.001585,0.001585,0.001585
87,11725.5,0.75629,0.62499,1.16851,0.96833,0.92283,0.96686,0.81068,0.74329,0.45829,1.12084,0.001486,0.001486,0.001486
88,11858.4,0.74923,0.61204,1.16048,0.96922,0.92328,0.9669,0.8112,0.74267,0.4573,1.1202,0.001387,0.001387,0.001387
89,11990.8,0.74299,0.6085,1.15596,0.97015,0.92395,0.96707,0.81168,0.74192,0.45655,1.11946,0.001288,0.001288,0.001288
90,12124.8,0.73973,0.59982,1.15043,0.96984,0.92309,0.96687,0.81113,0.74179,0.4553,1.11934,0.001189,0.001189,0.001189
91,12259,0.63045,0.39923,1.09876,0.96944,0.92345,0.96705,0.81188,0.74144,0.45314,1.11876,0.00109,0.00109,0.00109
92,12391.5,0.61219,0.38086,1.08456,0.96943,0.92366,0.96721,0.81201,0.74066,0.45163,1.11822,0.000991,0.000991,0.000991
93,12524.9,0.6021,0.36807,1.07999,0.97008,0.92382,0.96757,0.8127,0.74,0.44957,1.11753,0.000892,0.000892,0.000892
94,12658.6,0.59713,0.36605,1.07667,0.97003,0.92406,0.96762,0.81334,0.73863,0.44809,1.1163,0.000793,0.000793,0.000793
95,12790.4,0.59279,0.36012,1.07327,0.96993,0.92421,0.96792,0.81421,0.7379,0.44656,1.11566,0.000694,0.000694,0.000694
96,12922.3,0.58362,0.35088,1.06482,0.97024,0.92443,0.96811,0.81507,0.73672,0.44534,1.11457,0.000595,0.000595,0.000595
97,13054.9,0.5841,0.34891,1.06627,0.9684,0.92535,0.96834,0.81604,0.73564,0.44388,1.11356,0.000496,0.000496,0.000496
98,13186.8,0.576,0.34393,1.06297,0.96906,0.92522,0.96845,0.81661,0.7342,0.44205,1.11237,0.000397,0.000397,0.000397
99,13317.5,0.57095,0.33961,1.05566,0.9689,0.92523,0.96862,0.81728,0.73299,0.43995,1.11134,0.000298,0.000298,0.000298
100,13449.5,0.5653,0.33449,1.05288,0.9691,0.92533,0.96827,0.81803,0.73183,0.43822,1.1104,0.000199,0.000199,0.000199
